id,tipo,tema,hanzi,pinyin,espanol,explicacion,ejemplo_hanzi,ejemplo_pinyin,ejemplo_espanol,pagina,etiquetas,ingles,explicacion_ingles,ejemplo_ingles,etiquetas_ingles,nombres_propios
FC001,palabra,pronombres,我,wǒ,yo,Pronombre personal de primera persona del singular.,我是学生。,Wǒ shì xuésheng.,Soy estudiante.,1-3,pronombre;basico,I,First-person singular personal pronoun.,I am a student.,pronoun;basics,
FC002,palabra,pronombres,你,nǐ,tú,Pronombre informal de segunda persona del singular.,你叫什么名字？,Nǐ jiào shénme míngzi?,¿Cómo te llamas?,1-3,pronombre;basico,you,Informal second-person singular pronoun.,What is your name?,pronoun;basics,
FC003,palabra,pronombres,您,nín,usted,"Forma respetuosa de «tú», usada con personas mayores o en situaciones formales.",您最近怎么样？,Nín zuìjìn zěnmeyàng?,¿Cómo está usted últimamente?,1-4,pronombre;formal;cortesia,you (polite),"Respectful form of “you”, used with elders or in formal situations.",How have you been lately?,pronoun;formal;politeness,
FC004,palabra,pronombres,他,tā,él,Pronombre masculino de tercera persona del singular.,他姓吴。,Tā xìng Wú.,Él se apellida Wu.,1;4;8,pronombre,he,Masculine third-person singular pronoun.,His surname is Wu.,pronoun,吴;Wú;Wu
FC005,palabra,pronombres,她,tā,ella,Pronombre femenino de tercera persona del singular; se pronuncia igual que 他.,她是Fátima。,Tā shì Fátima.,Ella es Fátima.,1;5;9,pronombre,she,Feminine third-person singular pronoun; pronounced the same as 他.,She is Fátima.,pronoun,Fátima
FC006,palabra,pronombres,它,tā,pronombre para animales y cosas,Pronombre de tercera persona para animales u objetos; se pronuncia igual que 他 y 她.,它很好。,Tā hěn hǎo.,Está muy bien.,1-2,pronombre;animales;objetos,it,Third-person pronoun for animals or things; pronounced the same as he and she.,It is fine.,pronoun;animals;objects,
FC007,palabra,pronombres,们,men,sufijo de plural,Se añade sobre todo a pronombres y sustantivos de persona; no es un plural general para objetos.,你们,nǐmen,vosotros / ustedes,1-2;6;15,gramatica;plural,plural suffix,Added mainly to pronouns and nouns for people; it is not a general plural for objects.,you (plural),grammar;plural,
FC008,palabra,pronombres,我们,wǒmen,nosotros / nosotras,Plural de 我.,我们是学生。,Wǒmen shì xuésheng.,Somos estudiantes.,1;4-5,pronombre;plural,we,Plural of I.,We are students.,pronoun;plural,
FC009,palabra,pronombres,你们,nǐmen,vosotros / ustedes,Plural de 你.,你们最近怎么样？,Nǐmen zuìjìn zěnmeyàng?,¿Cómo estáis últimamente? / ¿Cómo están ustedes últimamente?,3-5;9,pronombre;plural,you (plural),Plural of you.,How have you all been lately?,pronoun;plural,
FC010,concepto,pronombres,他／她／它,tā / tā / tā,"¿Qué diferencia hay entre 他, 她 y 它?","Los tres se pronuncian tā. Al escribir, 他 es «él», 她 es «ella» y 它 se usa para animales o cosas.",他、她、它都读 tā。,"Tā, tā, tā dōu dú tā.",Los tres caracteres se leen tā.,1-2,pronunciacion;pronombre,"What is the difference between 他, 她, and 它?","All three are pronounced tā. In writing, 他 is “he”, 她 is “she”, and 它 is used for animals or things.",All three characters are read as tā.,pronunciation;pronoun,
FC011,concepto,caracteres,笔顺,bǐshùn,¿En qué orden se escriben los trazos del carácter 十?,Primero el trazo horizontal y después el vertical.,十,shí,"En 十, el trazo horizontal va antes que el vertical.",1-3,escritura;trazos,In what order are the strokes of the character 十 written?,"First the horizontal stroke, then the vertical one.","In 十, the horizontal stroke comes before the vertical one.",writing;strokes,
FC012,palabra,basico,学生,xuésheng,estudiante,Persona que estudia.,我是学生。,Wǒ shì xuésheng.,Soy estudiante.,1-3,persona;estudio,student,A person who studies.,I am a student.,person;studies,
FC013,palabra,saludos,最近,zuìjìn,últimamente / recientemente,Se refiere a un periodo cercano al momento actual.,你最近怎么样？,Nǐ zuìjìn zěnmeyàng?,¿Cómo estás últimamente?,3-5,tiempo;saludo,recently / lately,Refers to a period close to the present moment.,How have you been lately?,time;greeting,
FC014,frase,descripcion,还行,hái xíng,bastante bien / no está mal,Respuesta informal para decir que algo está aceptablemente bien.,我还行。,Wǒ hái xíng.,Estoy bastante bien.,3-5,estado;respuesta,all right / not bad,Informal response to say that something is acceptably good.,I'm doing all right.,state;response,
FC015,palabra,basico,这,zhè,este / esta / esto,Señala algo cercano.,这是谁的名字？,Zhè shì shéi de míngzi?,¿De quién es este nombre?,8-9,demostrativo;basico,this,Points to something nearby.,Whose name is this?,demonstrative;basics,
FC016,palabra,bebidas,牛奶,niúnǎi,leche,Literalmente significa «leche de vaca».,我喝牛奶。,Wǒ hē niúnǎi.,Bebo leche.,14,bebida;basico,milk,Literally it means “cow’s milk”.,I drink milk.,drink;basics,
FC017,palabra,acciones,喝,hē,beber,Verbo usado para tomar líquidos.,喝牛奶,hē niúnǎi,beber leche,14,verbo;bebida,to drink,Verb used for drinking liquids.,drink milk,verb;drink,
FC018,palabra,familia,儿子,érzi,hijo,Forma habitual de decir «hijo».,他是我儿子。,Tā shì wǒ érzi.,Él es mi hijo.,6-7,familia;persona,son,The usual way to say “son”.,He is my son.,family;person,
FC019,concepto,caracteres,部首,bùshǒu,¿Qué es un radical y para qué sirve?,Es el componente usado para clasificar y buscar un carácter en el diccionario.,您 → 心,nín → xīn,"En 您, el radical de clasificación es 心.",3,radical;diccionario,What is a radical and what is it for?,It is the component used to classify and look up a character in the dictionary.,"In 您, the classification radical is 心.",radical;dictionary,
FC020,palabra,radicales,心／忄,xīn,corazón (carácter y sus formas como radical),"心 significa «corazón» y puede funcionar como radical; cuando aparece en el lateral, suele adoptar la forma 忄.",您,nín,usted,3,radical;caracter,heart (character and its radical forms),心 means “heart” and can act as a radical; when it appears on the side it often takes the form 忄.,您,radical;character,
FC021,palabra,radicales,人／亻,rén,persona (carácter y sus formas como radical),人 significa «persona»; como componente lateral suele escribirse 亻.,你、他,"nǐ, tā",tú; él,3;6,radical;caracter,person (character and its radical forms),人 means “person”; as a side component it is usually written 亻.,you; he,radical;character,
FC022,palabra,radicales,女,nǚ,mujer / femenino (carácter y componente),Carácter y componente relacionados con la mujer o lo femenino.,她、好,"tā, hǎo",ella; bien,6;10,radical;familia,woman / feminine (character and component),Character and component linked to women or the feminine.,she; good,radical;family,
FC023,palabra,radicales,父,fù,padre (carácter formal y componente),"Significa «padre», pero suele aparecer en palabras como 父亲 o 父母. Para «papá» se usa 爸爸.",父亲／爸爸,fùqin / bàba,padre / papá,6-7,radical;familia,father (formal character and component),"It means “father” but usually appears in words like 父亲 or 父母. For “dad”, 爸爸 is used.",father / dad,radical;family,
FC024,palabra,radicales,口,kǒu,boca,Carácter y radical relacionados con la boca o el habla.,吗,ma,partícula interrogativa,10,radical;caracter,mouth,Character and radical related to the mouth or speech.,question particle,radical;character,
FC025,palabra,acciones,有,yǒu,tener / haber,Verbo básico que expresa que alguien tiene algo o que algo existe.,我上午有课。,Wǒ shàngwǔ yǒu kè.,Tengo clase por la mañana.,13,verbo;posesion;existencia;basico,to have / there is,Basic verb expressing that someone has something or that something exists.,I have class in the morning.,verb;possession;existence;basics,
FC026,palabra,radicales,子,zǐ,hijo / niño (como carácter o componente),Aporta la idea de «hijo» o «niño». En el habla diaria son más comunes 儿子 y 孩子.,好,hǎo,bien,10,caracter;familia,child (as character or component),"Carries the idea of “son” or “child”. In everyday speech, 儿子 and 孩子 are more common.",well,character;family,
FC027,palabra,caracteres,汉字,hànzì,carácter chino,Nombre general de los caracteres empleados para escribir chino.,我学习汉字。,Wǒ xuéxí hànzì.,Estudio los caracteres chinos.,1-3,escritura;caracter;basico,Chinese character,The general name for the characters used to write Chinese.,I study Chinese characters.,writing;character;basics,
FC028,palabra,saludos,好,hǎo,bien / bueno,Adjetivo básico con sentido positivo.,很好,hěn hǎo,muy bien,4-5;10;13,basico;saludo,good / fine,Basic adjective with a positive meaning.,very good,basics;greeting,
FC029,frase,saludos,你好！,Nǐ hǎo!,¡Hola!,Saludo básico dirigido a una persona.,你好！,Nǐ hǎo!,¡Hola!,5;9,saludo;basico,Hello!,Basic greeting addressed to one person.,Hello!,greeting;basics,
FC030,palabra,gramatica,吗,ma,partícula interrogativa para preguntas de sí o no,Se coloca al final de una oración afirmativa para convertirla en una pregunta cerrada.,你是学生吗？,Nǐ shì xuésheng ma?,¿Eres estudiante?,3-5;10,particula;pregunta,question particle for yes/no questions,It is placed at the end of an affirmative sentence to turn it into a closed question.,Are you a student?,particle;question,
FC031,frase,saludos,你好吗？,Nǐ hǎo ma?,¿Estás bien?,Pregunta por el bienestar. Como saludo puede sonar de manual; 你最近怎么样？ es más natural.,你好吗？我很好。,Nǐ hǎo ma? Wǒ hěn hǎo.,¿Estás bien? Estoy muy bien.,3-5,saludo;pregunta,How are you?,Asks about someone’s well-being. As a greeting it can sound textbook; 你最近怎么样 is more natural.,How are you? I’m very well.,greeting;question,
